URL_Length,URL_Depth,Domain_Age,Domain_End,Update_Age,Exact Length,Zero Count,Zero Prop,Period Prop,Special Count,Special Prop,Slash Count,Slash Prop,Check Words,Label
1,1,1,1,0,67,3,0.04477611940298507,0.029850746268656716,8,0.11940298507462686,3,0.04477611940298507,13,1
0,0,0,0,0,33,0,0.0,0.06060606060606061,6,0.18181818181818182,3,0.09090909090909091,30,0
1,5,1,1,0,70,5,0.07142857142857142,0.02857142857142857,11,0.15714285714285714,7,0.1,13,1
0,1,0,0,0,28,0,0.0,0.03571428571428571,5,0.17857142857142858,3,0.10714285714285714,31,0
0,0,0,0,1,28,0,0.0,0.03571428571428571,5,0.17857142857142858,3,0.10714285714285714,27,0
0,0,1,1,0,20,0,0.0,0.1,6,0.3,3,0.15,8,0
0,0,0,0,0,25,0,0.0,0.08,6,0.24,3,0.12,24,0
1,2,1,0,0,70,0,0.0,0.02857142857142857,12,0.17142857142857143,4,0.05714285714285714,30,1
0,0,0,1,0,19,0,0.0,0.05263157894736842,5,0.2631578947368421,3,0.15789473684210525,23,1
0,2,1,1,0,49,0,0.0,0.08163265306122448,9,0.1836734693877551,4,0.08163265306122448,18,0
0,0,0,0,1,27,0,0.0,0.037037037037037035,5,0.18518518518518517,3,0.1111111111111111,6,0
0,0,0,0,0,26,0,0.0,0.07692307692307693,6,0.23076923076923078,3,0.11538461538461539,31,0
0,0,0,0,0,35,0,0.0,0.05714285714285714,6,0.17142857142857143,3,0.08571428571428572,25,0
1,3,1,0,0,70,5,0.07142857142857142,0.02857142857142857,9,0.12857142857142856,5,0.07142857142857142,12,1
0,0,1,1,0,22,0,0.0,0.13636363636363635,7,0.3181818181818182,3,0.13636363636363635,10,0
1,4,0,0,0,56,0,0.0,0.05357142857142857,10,0.17857142857142858,6,0.10714285714285714,26,1
1,3,1,1,0,70,1,0.014285714285714285,0.04285714285714286,9,0.12857142857142856,5,0.07142857142857142,34,1
0,0,0,0,0,28,0,0.0,0.07142857142857142,6,0.21428571428571427,3,0.10714285714285714,25,0
1,2,1,0,0,70,1,0.014285714285714285,0.04285714285714286,12,0.17142857142857143,4,0.05714285714285714,35,1
0,0,0,0,0,35,0,0.0,0.08571428571428572,7,0.2,3,0.08571428571428572,15,0
1,4,0,0,0,70,1,0.014285714285714285,0.014285714285714285,8,0.11428571428571428,6,0.08571428571428572,27,1
