URL_Length,URL_Depth,Domain_Age,Domain_End,Update_Age,Exact Length,Zero Count,Zero Prop,Period Prop,Special Count,Special Prop,Slash Count,Slash Prop,Label
1,1,1,1,0,67,3,0.04477611940298507,0.029850746268656716,8,0.11940298507462686,3,0.04477611940298507,1
0,0,0,0,0,33,0,0.0,0.06060606060606061,6,0.18181818181818182,3,0.09090909090909091,0
1,5,1,1,0,70,5,0.07142857142857142,0.02857142857142857,11,0.15714285714285714,7,0.1,1
0,1,0,0,0,28,0,0.0,0.03571428571428571,5,0.17857142857142858,3,0.10714285714285714,0
0,0,0,0,1,28,0,0.0,0.03571428571428571,5,0.17857142857142858,3,0.10714285714285714,0
0,0,1,1,0,20,0,0.0,0.1,6,0.3,3,0.15,0
0,0,0,0,0,25,0,0.0,0.08,6,0.24,3,0.12,0
1,2,1,0,0,70,0,0.0,0.02857142857142857,12,0.17142857142857143,4,0.05714285714285714,1
0,0,0,1,0,19,0,0.0,0.05263157894736842,5,0.2631578947368421,3,0.15789473684210525,1
0,2,1,1,0,49,0,0.0,0.08163265306122448,9,0.1836734693877551,4,0.08163265306122448,0
0,0,0,0,1,27,0,0.0,0.037037037037037035,5,0.18518518518518517,3,0.1111111111111111,0
0,0,0,0,0,26,0,0.0,0.07692307692307693,6,0.23076923076923078,3,0.11538461538461539,0
0,0,0,0,0,35,0,0.0,0.05714285714285714,6,0.17142857142857143,3,0.08571428571428572,0
1,3,1,0,0,70,5,0.07142857142857142,0.02857142857142857,9,0.12857142857142856,5,0.07142857142857142,1
0,0,1,1,0,22,0,0.0,0.13636363636363635,7,0.3181818181818182,3,0.13636363636363635,0
1,4,0,0,0,56,0,0.0,0.05357142857142857,10,0.17857142857142858,6,0.10714285714285714,1
1,3,1,1,0,70,1,0.014285714285714285,0.04285714285714286,9,0.12857142857142856,5,0.07142857142857142,1
0,0,0,0,0,28,0,0.0,0.07142857142857142,6,0.21428571428571427,3,0.10714285714285714,0
1,2,1,0,0,70,1,0.014285714285714285,0.04285714285714286,12,0.17142857142857143,4,0.05714285714285714,1
0,0,0,0,0,35,0,0.0,0.08571428571428572,7,0.2,3,0.08571428571428572,0
1,4,0,0,0,70,1,0.014285714285714285,0.014285714285714285,8,0.11428571428571428,6,0.08571428571428572,1
0,0,0,0,0,23,0,0.0,0.08695652173913043,6,0.2608695652173913,3,0.13043478260869565,0
0,3,1,0,0,44,2,0.045454545454545456,0.045454545454545456,9,0.20454545454545456,5,0.11363636363636363,1
0,3,1,1,0,44,0,0.0,0.06818181818181818,11,0.25,6,0.13636363636363635,0
0,3,1,0,0,52,0,0.0,0.057692307692307696,10,0.19230769230769232,5,0.09615384615384616,1
0,0,1,0,0,22,0,0.0,0.09090909090909091,7,0.3181818181818182,3,0.13636363636363635,0
0,0,0,0,1,24,0,0.0,0.08333333333333333,6,0.25,3,0.125,0
0,0,0,0,0,27,0,0.0,0.07407407407407407,6,0.2222222222222222,3,0.1111111111111111,0
0,0,0,1,0,33,0,0.0,0.06060606060606061,6,0.18181818181818182,3,0.09090909090909091,0
1,2,0,0,0,63,0,0.0,0.047619047619047616,11,0.1746031746031746,4,0.06349206349206349,0
0,2,1,1,0,37,0,0.0,0.10810810810810811,9,0.24324324324324326,4,0.10810810810810811,1
1,4,0,0,0,64,1,0.015625,0.015625,10,0.15625,7,0.109375,1
1,5,0,0,0,92,0,0.0,0.03260869565217391,15,0.16304347826086957,7,0.07608695652173914,0
0,0,0,0,1,38,0,0.0,0.05263157894736842,6,0.15789473684210525,3,0.07894736842105263,0
0,0,0,0,0,31,0,0.0,0.06451612903225806,6,0.1935483870967742,3,0.0967741935483871,1
0,0,0,0,0,26,0,0.0,0.07692307692307693,6,0.23076923076923078,3,0.11538461538461539,0
0,1,1,0,0,26,0,0.0,0.07692307692307693,7,0.2692307692307692,4,0.15384615384615385,1
0,1,1,0,0,27,0,0.0,0.037037037037037035,5,0.18518518518518517,3,0.1111111111111111,1
0,3,1,1,0,53,0,0.0,0.05660377358490566,12,0.22641509433962265,5,0.09433962264150944,0
0,0,1,1,0,20,0,0.0,0.05,5,0.25,3,0.15,0
0,2,1,0,0,51,0,0.0,0.0392156862745098,11,0.21568627450980393,4,0.0784313725490196,1
0,1,1,1,0,31,0,0.0,0.0967741935483871,7,0.22580645161290322,3,0.0967741935483871,0
1,3,1,0,0,70,3,0.04285714285714286,0.014285714285714285,7,0.1,5,0.07142857142857142,1
1,3,1,1,0,60,1,0.016666666666666666,0.06666666666666667,12,0.2,5,0.08333333333333333,0
0,2,0,0,0,37,0,0.0,0.05405405405405406,7,0.1891891891891892,4,0.10810810810810811,1
0,0,0,0,1,29,0,0.0,0.06896551724137931,6,0.20689655172413793,3,0.10344827586206896,0
0,1,1,1,0,32,2,0.0625,0.09375,8,0.25,3,0.09375,1
0,0,0,0,0,25,0,0.0,0.08,6,0.24,3,0.12,0
0,0,0,0,0,31,0,0.0,0.06451612903225806,6,0.1935483870967742,3,0.0967741935483871,0
1,3,1,0,0,70,2,0.02857142857142857,0.02857142857142857,9,0.12857142857142856,5,0.07142857142857142,1
1,0,1,1,0,70,1,0.014285714285714285,0.014285714285714285,9,0.12857142857142856,2,0.02857142857142857,1
1,6,0,1,0,61,0,0.0,0.01639344262295082,11,0.18032786885245902,9,0.14754098360655737,1
0,2,1,1,0,38,0,0.0,0.05263157894736842,8,0.21052631578947367,5,0.13157894736842105,1
0,0,0,1,0,25,0,0.0,0.08,6,0.24,3,0.12,0
1,3,1,0,0,56,0,0.0,0.017857142857142856,9,0.16071428571428573,6,0.10714285714285714,1
1,2,1,0,0,70,0,0.0,0.02857142857142857,7,0.1,4,0.05714285714285714,1
0,0,0,0,0,32,0,0.0,0.0625,6,0.1875,3,0.09375,0
