Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
account-google-com.ngate.my,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0
coffeespecialties.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
black.pk,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
atomicsoda.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
bostoncoffeecake.com,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
durst.de,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
jobofmine.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
safetem.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
elicafe.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
vgl.ucdavis.edu,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
wellcomelibrary.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
topusajobs.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mymothersdelicacies.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
iw4510.freehostgate.net,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
audi.co.nz,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
marlinaquarindo.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
cityofdreams.com.ua,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
dreamlandbbq.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
cncsaz.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0
barrelsandbottles.co.uk,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
everydayhomecarellc.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
redcafe.net,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
tabtimeline.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
cecm.sfu.ca,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
cincybabiesmatter.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
guj-epd.gov.in,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
sugarboo.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mancitynews.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
dessertcafeonline.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
thinkingblocks.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
kasp.pp.ua,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
tallahasseespeechcenter.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
oldfootballshirts.com,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0
educationforallinindia.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
capecoralscreen.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
theteahaus.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
