Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,Update_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
account-google-com.ngate.my,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
coffeespecialties.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
black.pk,0,0,1,5,0,0,0,0,1,1,1,1,0,0,0,1,0,1
atomicsoda.com,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
bostoncoffeecake.com,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
durst.de,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
jobofmine.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
safetem.com,0,0,1,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1
elicafe.com,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
vgl.ucdavis.edu,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0
wellcomelibrary.org,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
topusajobs.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
mymothersdelicacies.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
iw4510.freehostgate.net,0,0,1,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
audi.co.nz,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
marlinaquarindo.com,0,0,1,4,0,0,0,0,1,1,0,0,0,1,1,1,1,1
cityofdreams.com.ua,0,0,1,3,0,0,0,0,1,1,1,1,0,0,0,1,0,1
dreamlandbbq.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
cncsaz.com,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1
barrelsandbottles.co.uk,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
everydayhomecarellc.com,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1
redcafe.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
tabtimeline.com,0,0,0,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
cecm.sfu.ca,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,1,0,0
cincybabiesmatter.com,0,0,0,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
guj-epd.gov.in,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
sugarboo.com,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
mancitynews.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
dessertcafeonline.com,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
thinkingblocks.com,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0
kasp.pp.ua,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
tallahasseespeechcenter.com,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1
oldfootballshirts.com,0,0,1,5,0,0,0,0,1,0,0,0,0,1,1,1,1,0
educationforallinindia.com,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
capecoralscreen.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
theteahaus.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
rfacbe.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1
sinsona.com,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
db.uwaterloo.ca,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,1,0,0
eperfumes.ca,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
stuffatweb.com,0,0,0,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1
pcengines.ch,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0
top10filmy.com,0,0,1,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
utsc.utoronto.ca,0,0,1,3,0,0,0,0,1,1,1,1,0,0,0,1,0,0
rhemagh.com,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1
isbodyjewelry.com,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
58.192.78.230:8081,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
hungamatv.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
coalcreekcoffee.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
iw4510.freehostgate.net,0,0,1,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
964014-de-prob-sicher-account.sicherheitssystem-sicherheitshilf,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
realpropertyinc.net,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,1,0,1
decvidros.com.br,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
etherpunk.com,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
pratiquesaude.com,0,0,1,3,0,0,0,0,1,1,1,0,0,0,0,1,0,1
sparkdeal.in,0,0,1,2,0,0,0,0,1,0,1,0,0,1,1,1,1,1
ilovechickenpoop.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
gamesevideogames.com.br,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
realestateinsarasotabradenton.com,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
crain.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
whiterose.co.th,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
aagreentea.freeservers.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
nops2sign.com,0,0,1,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1
funnyidcard.com,0,1,0,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
mista.eu,0,0,1,3,0,0,0,0,1,0,1,1,0,0,0,1,0,1
joesbarbequecompany.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
whispersinthecorridors.com,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
gripvaninavan.com,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1
boygirlvip.com,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
s-yard.co.kr,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1
lopspl.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
mumbaimirror.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
gbgarts.com,0,0,1,6,0,0,0,0,1,0,0,0,0,1,1,1,1,1
simoneodontologia.com.br,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
ringtonsfranchise.co.uk,0,0,1,5,1,0,0,0,1,1,0,0,0,1,1,1,1,1
aridfoods.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
xanhtuoi.com,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1
footballuniverse.net,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
football.co.uk,0,0,0,2,0,0,0,0,1,0,1,1,0,1,1,1,1,0
sainiestate.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
metrovaartha.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
amitmehra.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
resolutionservicehelp.gq,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
knotjustweeds.com,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1
sitenhazir.com,0,0,1,3,0,0,0,0,1,0,0,0,1,1,1,1,1,1
recont.sovancobellara.com,0,0,1,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1
weaverconstructionllc.com,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1
sloroasted.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
theblueowl.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
artebinaria.com,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1
mathhelpforum.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
hulaheaven.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
redriding.in,0,0,1,5,0,0,0,0,1,1,1,0,0,0,0,1,0,1
theradianthotel.com,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1
lotionsandpotions.com,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
careerandresume.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
dodge.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
badoeudn.com,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
uniformesescolares.com.ec,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
resumequeen.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
mgnet.org,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
repair-discovery-nasution.fulba.com,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1
silkroadteas.com,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0
kidsolr.com,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,0
property-dealer.com,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
roboticstrends.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
mellotronen.com,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
ssavy.com,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,1,0,1
m24.telemedellin.tv,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
showbizradio.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
greenaura.net,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1
therapie-art.ch,0,0,0,3,0,0,0,1,1,0,1,1,0,0,0,1,0,1
dietadeluxe.pl,0,0,1,3,0,0,0,0,1,1,0,1,0,1,1,1,1,1
jnzbtb.cn,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1
pianolessonstampa.com,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1
ourhansenfamily.com,0,0,1,5,0,0,0,0,1,1,0,1,0,0,0,1,0,1
realmadrid.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
sys-arcis.net,0,0,1,2,0,0,0,1,1,1,1,0,0,1,1,1,1,1
viral-oman.com,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,1
skarosser.se,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
forestersrest.com,0,0,1,2,0,0,1,0,1,1,0,0,0,1,1,1,1,1
ouidad.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
ctlservicos.com.br,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
mshippingc.com,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
monitor.upeace.org,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
fameyang.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
